fomula,homo,lumo,band gap,cosmoname,cosmodata
LiLiLiLiPbClClClClClCl,-0.25105,-0.10697,0.14408,Diethyl ether,4.3350
LiLiLiLiPbClClClIII,-0.22079,-0.11019,0.1106,Ethanol,24.3000
LiLiLiLiPbClClIIII,-0.22251,-0.101,0.12151,Benzene,2.2840
LiLiLiLiPbFBrBrBrII,-0.21756,-0.10886,0.1087,n-hexadecane,2.0600
LiLiLiLiPbFBrIIII,-0.21566,-0.10382,0.11184,Ethanol,24.3000
LiLiLiLiPbFClBrBrBrBr,-0.23738,-0.09252,0.14486,Nitrobenzene,35.7000
LiLiLiLiPbFClBrIII,-0.2162,-0.10896,0.10724,Nitrobenzene,35.7000
LiLiLiLiPbFClClClBrBr,-0.2373,-0.0972,0.1401,Chlorofom,4.8060
LiLiLiLiPbFClClClII,-0.22341,-0.07301,0.1504,Water,78.5400
LiLiLiLiPbFClClIII,-0.21637,-0.10692,0.10945,Acetonitrile,37.5000
LiLiLiLiPbFFClClBrBr,-0.2442,-0.09821,0.14599,n-hexane,1.8900
LiLiLiLiPbFFClClBrI,-0.22643,-0.09627,0.13016,Benzene,2.2840
LiLiLiLiPbFFClIII,-0.22361,-0.10899,0.11462,Methylene chloride,9.0800
LiLiLiLiPbFFFBrII,-0.21877,-0.09164,0.12713,Carbon tetrachloride,2.2380
LiLiLiLiPbFFFFBrBr,-0.23917,-0.08271,0.15646,Pyridine,12.3000
LiLiLiLiPbFFFFBrI,-0.2186,-0.09138,0.12722,n-hexane,1.8900
LiLiLiLiPbFFFFClBr,-0.23779,-0.07344,0.16435,Water,78.5400
LiLiLiLiPbFIIIII,-0.21819,-0.09776,0.12043,Diethyl ether,4.3350
LiLiLiLiPbIIIIII,-0.21964,-0.10903,0.11061,Dimethyl sulfoxide,46.7000
LiLiLiLiSnClBrBrBrII,-0.21816,-0.09085,0.12731,Water,78.5400
LiLiLiLiSnClClBrBrBrBr,-0.22795,-0.0971,0.13085,Methylene chloride,9.0800
LiLiLiLiSnClClBrBrBrI,-0.22313,-0.08773,0.1354,Chlorofom,4.8060
LiLiLiLiSnClClBrBrII,-0.21898,-0.10685,0.11213,Carbon tetrachloride,2.2380
LiLiLiLiSnClClClClII,-0.21009,-0.08134,0.12875,Ethanol,24.3000
LiLiLiLiSnFBrBrBrBrBr,-0.22067,-0.07492,0.14575,Methanol,32.6300
LiLiLiLiSnFBrBrBrBrI,-0.21969,-0.08848,0.13121,Acetonitrile,37.5000
LiLiLiLiSnFClBrBrBrBr,-0.2168,-0.07732,0.13948,Dimethyl sulfoxide,46.7000
LiLiLiLiSnFClBrBrII,-0.20893,-0.06533,0.1436,Dimethyl sulfoxide,46.7000
LiLiLiLiSnFClClClClBr,-0.22398,-0.0667,0.15728,Ethanol,24.3000
LiLiLiLiSnFClClClII,-0.22087,-0.10437,0.1165,Carbon tetrachloride,2.2380
LiLiLiLiSnFFBrIII,-0.21544,-0.0869,0.12854,Dimethyl sulfoxide,46.7000
LiLiLiLiSnFFClClBrI,-0.21095,-0.05929,0.15166,Nitrobenzene,35.7000
LiLiLiLiSnFFFClClCl,-0.24447,-0.06426,0.18021,Nitrobenzene,35.7000
LiLiLiLiSnFFFClII,-0.21241,-0.05152,0.16089,Nitrobenzene,35.7000
LiLiLiLiSnFFFFBrI,-0.21043,-0.0634,0.14703,Diethyl ether,4.3350
LiLiLiLiSnFFFFFF,-0.23211,-0.04933,0.18278,Pyridine,12.3000
LiLiLiLiSnFFFFII,-0.21513,-0.06871,0.14642,Acetone,20.7000
LiLiLiLiSnIIIIII,-0.21667,-0.11531,0.10136,n-hexadecane,2.0600
LiLiLiNaGeBrBrBrBrBrI,-0.20631,-0.06334,0.14297,Water,78.5400
LiLiLiNaGeBrBrBrIII,-0.20863,-0.08158,0.12705,Ethanol,24.3000
LiLiLiNaGeBrBrIIII,-0.21888,-0.10621,0.11267,Benzene,2.2840
LiLiLiNaGeClBrBrIII,-0.20822,-0.08087,0.12735,Ethanol,24.3000
LiLiLiNaGeClClBrBrBrBr,-0.22633,-0.08003,0.1463,Ethanol,24.3000
LiLiLiNaGeClClBrBrBrI,-0.2182,-0.08077,0.13743,Diethyl ether,4.3350
LiLiLiNaGeClClClBrII,-0.21705,-0.09449,0.12256,n-hexane,1.8900
LiLiLiNaGeClClClClClI,-0.22636,-0.08035,0.14601,Benzene,2.2840
LiLiLiNaGeClClClIII,-0.21486,-0.09181,0.12305,Methanol,32.6300
LiLiLiNaGeClClIIII,-0.20747,-0.0819,0.12557,Acetone,20.7000
LiLiLiNaGeFBrBrBrBrI,-0.20714,-0.08181,0.12533,Carbon tetrachloride,2.2380
LiLiLiNaGeFBrBrIII,-0.20343,-0.06862,0.13481,Acetonitrile,37.5000
LiLiLiNaGeFClBrBrII,-0.22267,-0.08917,0.1335,Carbon tetrachloride,2.2380
LiLiLiNaGeFClClBrBrBr,-0.22612,-0.08838,0.13774,Benzene,2.2840
LiLiLiNaGeFClClBrBrI,-0.22352,-0.09499,0.12853,n-hexane,1.8900
LiLiLiNaGeFClClClClI,-0.21104,-0.0837,0.12734,Chlorofom,4.8060
LiLiLiNaGeFClIIII,-0.20254,-0.08742,0.11512,n-hexane,1.8900
LiLiLiNaGeFFBrBrII,-0.21038,-0.0933,0.11708,Diethyl ether,4.3350
LiLiLiNaGeFFClBrBrBr,-0.2288,-0.06982,0.15898,Dimethyl sulfoxide,46.7000
LiLiLiNaGeFFClBrBrI,-0.22283,-0.08035,0.14248,Methylene chloride,9.0800
LiLiLiNaGeFFClClClCl,-0.23091,-0.07487,0.15604,Acetonitrile,37.5000
LiLiLiNaGeFFClClII,-0.2324,-0.08804,0.14436,Benzene,2.2840
LiLiLiNaGeFFClIII,-0.2045,-0.06505,0.13945,Chlorofom,4.8060
